"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Número de contratos bonificados","Número de contratos de sustitución"
"Año 2003","Primero","Enero","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Primero","Enero","Comunitat Valenciana","Valencia/València","4.0","0.0"
"Año 2003","Primero","Enero","País Vasco","Bizkaia","2.0","0.0"
"Año 2003","Primero","Febrero","Andalucía","Málaga","1.0","0.0"
"Año 2003","Primero","Febrero","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Primero","Febrero","Castilla y León","Palencia","1.0","0.0"
"Año 2003","Primero","Febrero","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Primero","Febrero","Cataluña","Lleida","0.0","0.0"
"Año 2003","Primero","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Primero","Febrero","La Rioja","La Rioja","1.0","0.0"
"Año 2003","Primero","Marzo","Andalucía","Almería","1.0","0.0"
"Año 2003","Primero","Marzo","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Primero","Marzo","Castilla y León","Burgos","1.0","0.0"
"Año 2003","Primero","Marzo","Castilla y León","Segovia","2.0","0.0"
"Año 2003","Primero","Marzo","Castilla y León","Soria","1.0","0.0"
"Año 2003","Primero","Marzo","Castilla y León","Zamora","1.0","0.0"
"Año 2003","Primero","Marzo","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2003","Primero","Marzo","Cataluña","Barcelona","2.0","0.0"
"Año 2003","Primero","Marzo","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Primero","Marzo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2003","Primero","Marzo","Comunitat Valenciana","Valencia/València","3.0","0.0"
"Año 2003","Primero","Marzo","Galicia","Lugo","1.0","0.0"
"Año 2003","Primero","Marzo","Comunidad de Madrid","Madrid","0.0","0.0"
"Año 2003","Segundo","Abril","Andalucía","Granada","3.0","0.0"
"Año 2003","Segundo","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2003","Segundo","Abril","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2003","Segundo","Abril","Castilla y León","León","3.0","0.0"
"Año 2003","Segundo","Abril","Castilla y León","Segovia","1.0","0.0"
"Año 2003","Segundo","Abril","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Segundo","Abril","Galicia","A Coruña","1.0","0.0"
"Año 2003","Segundo","Abril","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2003","Segundo","Abril","País Vasco","Bizkaia","1.0","0.0"
"Año 2003","Segundo","Mayo","Andalucía","Cádiz","1.0","0.0"
"Año 2003","Segundo","Mayo","Andalucía","Jaén","1.0","0.0"
"Año 2003","Segundo","Mayo","Andalucía","Málaga","9.0","0.0"
"Año 2003","Segundo","Mayo","Castilla y León","León","2.0","0.0"
"Año 2003","Segundo","Mayo","Castilla y León","Segovia","1.0","0.0"
"Año 2003","Segundo","Mayo","Castilla y León","Valladolid","2.0","0.0"
"Año 2003","Segundo","Mayo","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2003","Segundo","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Segundo","Mayo","Galicia","A Coruña","1.0","0.0"
"Año 2003","Segundo","Mayo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Segundo","Mayo","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Segundo","Junio","Andalucía","Cádiz","1.0","0.0"
"Año 2003","Segundo","Junio","Andalucía","Granada","1.0","0.0"
"Año 2003","Segundo","Junio","Andalucía","Jaén","0.0","0.0"
"Año 2003","Segundo","Junio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Segundo","Junio","Castilla y León","León","0.0","0.0"
"Año 2003","Segundo","Junio","Castilla y León","Palencia","1.0","0.0"
"Año 2003","Segundo","Junio","Castilla y León","Segovia","1.0","0.0"
"Año 2003","Segundo","Junio","Castilla y León","Zamora","1.0","0.0"
"Año 2003","Segundo","Junio","Cataluña","Barcelona","0.0","0.0"
"Año 2003","Segundo","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Segundo","Junio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Tercero","Julio","Andalucía","Málaga","1.0","0.0"
"Año 2003","Tercero","Julio","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Tercero","Julio","Castilla y León","Palencia","1.0","0.0"
"Año 2003","Tercero","Julio","Castilla y León","Soria","1.0","0.0"
"Año 2003","Tercero","Julio","Cataluña","Barcelona","2.0","0.0"
"Año 2003","Tercero","Julio","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Tercero","Julio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Tercero","Julio","Galicia","Lugo","1.0","0.0"
"Año 2003","Tercero","Julio","Galicia","Pontevedra","1.0","0.0"
"Año 2003","Tercero","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Tercero","Agosto","Andalucía","Cádiz","0.0","0.0"
"Año 2003","Tercero","Agosto","Andalucía","Málaga","1.0","0.0"
"Año 2003","Tercero","Agosto","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Tercero","Agosto","Castilla y León","León","2.0","0.0"
"Año 2003","Tercero","Agosto","Castilla y León","Palencia","2.0","0.0"
"Año 2003","Tercero","Agosto","Castilla y León","Zamora","1.0","0.0"
"Año 2003","Tercero","Agosto","Castilla-La Mancha","Toledo","0.0","0.0"
"Año 2003","Tercero","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Tercero","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Tercero","Agosto","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2003","Tercero","Agosto","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2003","Tercero","Septiembre","Andalucía","Sevilla","2.0","0.0"
"Año 2003","Tercero","Septiembre","Illes Balears","Illes Balears","2.0","0.0"
"Año 2003","Tercero","Septiembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Tercero","Septiembre","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2003","Tercero","Septiembre","Castilla y León","Ávila","1.0","0.0"
"Año 2003","Tercero","Septiembre","Castilla y León","Burgos","4.0","0.0"
"Año 2003","Tercero","Septiembre","Castilla y León","Zamora","1.0","0.0"
"Año 2003","Tercero","Septiembre","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Tercero","Septiembre","Galicia","A Coruña","0.0","0.0"
"Año 2003","Tercero","Septiembre","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Cuarto","Octubre","Andalucía","Córdoba","2.0","0.0"
"Año 2003","Cuarto","Octubre","Andalucía","Granada","1.0","0.0"
"Año 2003","Cuarto","Octubre","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Cuarto","Octubre","Aragón","Zaragoza","1.0","0.0"
"Año 2003","Cuarto","Octubre","Principado de Asturias","Asturias","1.0","0.0"
"Año 2003","Cuarto","Octubre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Cuarto","Octubre","Castilla y León","Burgos","1.0","0.0"
"Año 2003","Cuarto","Octubre","Castilla y León","León","1.0","0.0"
"Año 2003","Cuarto","Octubre","Castilla y León","Segovia","1.0","0.0"
"Año 2003","Cuarto","Octubre","Castilla y León","Zamora","1.0","0.0"
"Año 2003","Cuarto","Octubre","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2003","Cuarto","Octubre","Cataluña","Girona","0.0","0.0"
"Año 2003","Cuarto","Octubre","Comunitat Valenciana","Valencia/València","4.0","0.0"
"Año 2003","Cuarto","Octubre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2003","Cuarto","Octubre","País Vasco","Gipuzkoa","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Andalucía","Córdoba","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Cantabria","Cantabria","0.0","0.0"
"Año 2003","Cuarto","Noviembre","Castilla y León","Salamanca","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Cuarto","Noviembre","Extremadura","Cáceres","0.0","0.0"
"Año 2003","Cuarto","Noviembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2003","Cuarto","Diciembre","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Castilla y León","León","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Castilla y León","Salamanca","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Castilla y León","Valladolid","2.0","0.0"
"Año 2003","Cuarto","Diciembre","Castilla y León","Zamora","2.0","0.0"
"Año 2003","Cuarto","Diciembre","Cataluña","Barcelona","0.0","0.0"
"Año 2003","Cuarto","Diciembre","Cataluña","Girona","0.0","0.0"
"Año 2003","Cuarto","Diciembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Extremadura","Cáceres","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Galicia","A Coruña","1.0","0.0"
"Año 2003","Cuarto","Diciembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Primero","Enero","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Primero","Enero","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Primero","Enero","Principado de Asturias","Asturias","1.0","0.0"
"Año 2004","Primero","Enero","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2004","Primero","Enero","Cataluña","Barcelona","0.0","0.0"
"Año 2004","Primero","Enero","Cataluña","Lleida","1.0","0.0"
"Año 2004","Primero","Enero","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Primero","Febrero","Andalucía","Almería","1.0","0.0"
"Año 2004","Primero","Febrero","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Primero","Febrero","Andalucía","Málaga","0.0","0.0"
"Año 2004","Primero","Febrero","Andalucía","Sevilla","2.0","0.0"
"Año 2004","Primero","Febrero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2004","Primero","Febrero","Canarias","Las Palmas","1.0","0.0"
"Año 2004","Primero","Febrero","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Primero","Febrero","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Primero","Febrero","Galicia","Ourense","1.0","0.0"
"Año 2004","Primero","Febrero","Galicia","Pontevedra","1.0","0.0"
"Año 2004","Primero","Febrero","Comunidad de Madrid","Madrid","5.0","0.0"
"Año 2004","Primero","Febrero","La Rioja","La Rioja","1.0","0.0"
"Año 2004","Primero","Marzo","Andalucía","Almería","0.0","0.0"
"Año 2004","Primero","Marzo","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Primero","Marzo","Andalucía","Córdoba","2.0","0.0"
"Año 2004","Primero","Marzo","Andalucía","Granada","7.0","0.0"
"Año 2004","Primero","Marzo","Aragón","Zaragoza","1.0","0.0"
"Año 2004","Primero","Marzo","Canarias","Las Palmas","1.0","0.0"
"Año 2004","Primero","Marzo","Castilla y León","Palencia","2.0","0.0"
"Año 2004","Primero","Marzo","Castilla y León","Salamanca","1.0","0.0"
"Año 2004","Primero","Marzo","Castilla y León","Valladolid","1.0","0.0"
"Año 2004","Primero","Marzo","Cataluña","Barcelona","4.0","0.0"
"Año 2004","Primero","Marzo","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Primero","Marzo","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Segundo","Abril","Andalucía","Cádiz","2.0","0.0"
"Año 2004","Segundo","Abril","Andalucía","Córdoba","2.0","0.0"
"Año 2004","Segundo","Abril","Andalucía","Málaga","0.0","0.0"
"Año 2004","Segundo","Abril","Andalucía","Sevilla","4.0","0.0"
"Año 2004","Segundo","Abril","Castilla y León","León","1.0","0.0"
"Año 2004","Segundo","Abril","Castilla y León","Palencia","3.0","0.0"
"Año 2004","Segundo","Abril","Castilla y León","Soria","2.0","0.0"
"Año 2004","Segundo","Abril","Castilla y León","Zamora","1.0","0.0"
"Año 2004","Segundo","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Segundo","Abril","Galicia","Lugo","1.0","0.0"
"Año 2004","Segundo","Abril","Comunidad de Madrid","Madrid","5.0","0.0"
"Año 2004","Segundo","Mayo","Andalucía","Almería","2.0","0.0"
"Año 2004","Segundo","Mayo","Andalucía","Granada","1.0","0.0"
"Año 2004","Segundo","Mayo","Andalucía","Málaga","1.0","0.0"
"Año 2004","Segundo","Mayo","Andalucía","Sevilla","3.0","0.0"
"Año 2004","Segundo","Mayo","Aragón","Huesca","1.0","0.0"
"Año 2004","Segundo","Mayo","Aragón","Teruel","1.0","0.0"
"Año 2004","Segundo","Mayo","Canarias","Las Palmas","2.0","0.0"
"Año 2004","Segundo","Mayo","Castilla y León","Ávila","2.0","0.0"
"Año 2004","Segundo","Mayo","Castilla y León","Burgos","1.0","0.0"
"Año 2004","Segundo","Mayo","Castilla y León","León","2.0","0.0"
"Año 2004","Segundo","Mayo","Castilla y León","Segovia","2.0","0.0"
"Año 2004","Segundo","Mayo","Castilla y León","Valladolid","3.0","0.0"
"Año 2004","Segundo","Mayo","Cataluña","Barcelona","4.0","0.0"
"Año 2004","Segundo","Mayo","Cataluña","Girona","0.0","0.0"
"Año 2004","Segundo","Mayo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2004","Segundo","Mayo","Extremadura","Badajoz","2.0","0.0"
"Año 2004","Segundo","Mayo","Galicia","Lugo","1.0","0.0"
"Año 2004","Segundo","Mayo","Comunidad de Madrid","Madrid","5.0","0.0"
"Año 2004","Segundo","Mayo","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Segundo","Mayo","No consta","No consta","1.0","0.0"
"Año 2004","Segundo","Junio","Andalucía","Almería","1.0","0.0"
"Año 2004","Segundo","Junio","Andalucía","Cádiz","3.0","0.0"
"Año 2004","Segundo","Junio","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Segundo","Junio","Andalucía","Málaga","1.0","0.0"
"Año 2004","Segundo","Junio","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Segundo","Junio","Aragón","Zaragoza","2.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Burgos","1.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","León","3.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Palencia","1.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Salamanca","1.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Segovia","3.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Soria","1.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Valladolid","1.0","0.0"
"Año 2004","Segundo","Junio","Castilla y León","Zamora","1.0","0.0"
"Año 2004","Segundo","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Segundo","Junio","Comunitat Valenciana","Alicante/Alacant","3.0","0.0"
"Año 2004","Segundo","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Segundo","Junio","Galicia","Pontevedra","1.0","0.0"
"Año 2004","Segundo","Junio","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Almería","1.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Cádiz","5.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Córdoba","2.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Huelva","3.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Jaén","1.0","0.0"
"Año 2004","Tercero","Julio","Andalucía","Sevilla","3.0","0.0"
"Año 2004","Tercero","Julio","Principado de Asturias","Asturias","1.0","0.0"
"Año 2004","Tercero","Julio","Castilla y León","León","1.0","0.0"
"Año 2004","Tercero","Julio","Castilla y León","Segovia","1.0","0.0"
"Año 2004","Tercero","Julio","Castilla y León","Soria","1.0","0.0"
"Año 2004","Tercero","Julio","Castilla y León","Valladolid","2.0","0.0"
"Año 2004","Tercero","Julio","Castilla y León","Zamora","1.0","0.0"
"Año 2004","Tercero","Julio","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Tercero","Julio","Comunitat Valenciana","Valencia/València","2.0","0.0"
"Año 2004","Tercero","Julio","Comunidad de Madrid","Madrid","4.0","0.0"
"Año 2004","Tercero","Julio","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Tercero","Julio","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Tercero","Agosto","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Tercero","Agosto","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Tercero","Agosto","Andalucía","Granada","2.0","0.0"
"Año 2004","Tercero","Agosto","Andalucía","Huelva","1.0","0.0"
"Año 2004","Tercero","Agosto","Canarias","Las Palmas","1.0","0.0"
"Año 2004","Tercero","Agosto","Castilla y León","Ávila","1.0","0.0"
"Año 2004","Tercero","Agosto","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2004","Tercero","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Tercero","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Tercero","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Tercero","Septiembre","Andalucía","Almería","1.0","0.0"
"Año 2004","Tercero","Septiembre","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Tercero","Septiembre","Andalucía","Córdoba","0.0","0.0"
"Año 2004","Tercero","Septiembre","Andalucía","Granada","1.0","0.0"
"Año 2004","Tercero","Septiembre","Andalucía","Málaga","1.0","0.0"
"Año 2004","Tercero","Septiembre","Principado de Asturias","Asturias","1.0","0.0"
"Año 2004","Tercero","Septiembre","Castilla y León","Burgos","1.0","0.0"
"Año 2004","Tercero","Septiembre","Castilla y León","Palencia","1.0","0.0"
"Año 2004","Tercero","Septiembre","Castilla y León","Valladolid","2.0","0.0"
"Año 2004","Tercero","Septiembre","Castilla-La Mancha","Guadalajara","1.0","0.0"
"Año 2004","Tercero","Septiembre","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Tercero","Septiembre","Galicia","Lugo","1.0","0.0"
"Año 2004","Tercero","Septiembre","Galicia","Pontevedra","1.0","0.0"
"Año 2004","Tercero","Septiembre","Comunidad de Madrid","Madrid","6.0","0.0"
"Año 2004","Cuarto","Octubre","Andalucía","Almería","1.0","0.0"
"Año 2004","Cuarto","Octubre","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Cuarto","Octubre","Andalucía","Granada","2.0","0.0"
"Año 2004","Cuarto","Octubre","Andalucía","Sevilla","2.0","0.0"
"Año 2004","Cuarto","Octubre","Castilla y León","Palencia","1.0","0.0"
"Año 2004","Cuarto","Octubre","Castilla y León","Valladolid","1.0","0.0"
"Año 2004","Cuarto","Octubre","Castilla y León","Zamora","2.0","0.0"
"Año 2004","Cuarto","Octubre","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Cuarto","Octubre","Comunitat Valenciana","Valencia/València","2.0","0.0"
"Año 2004","Cuarto","Octubre","Comunidad de Madrid","Madrid","6.0","0.0"
"Año 2004","Cuarto","Noviembre","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Andalucía","Córdoba","2.0","0.0"
"Año 2004","Cuarto","Noviembre","Andalucía","Málaga","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Castilla y León","León","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Castilla y León","Palencia","4.0","0.0"
"Año 2004","Cuarto","Noviembre","Castilla-La Mancha","Guadalajara","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Cuarto","Noviembre","Comunitat Valenciana","Alicante/Alacant","2.0","0.0"
"Año 2004","Cuarto","Noviembre","Extremadura","Badajoz","1.0","0.0"
"Año 2004","Cuarto","Noviembre","Galicia","Lugo","0.0","0.0"
"Año 2004","Cuarto","Noviembre","Galicia","Pontevedra","0.0","0.0"
"Año 2004","Cuarto","Noviembre","Comunidad de Madrid","Madrid","4.0","0.0"
"Año 2004","Cuarto","Noviembre","País Vasco","Gipuzkoa","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Andalucía","Almería","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Andalucía","Málaga","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Andalucía","Sevilla","2.0","0.0"
"Año 2004","Cuarto","Diciembre","Cantabria","Cantabria","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Castilla y León","Valladolid","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Cataluña","Barcelona","3.0","0.0"
"Año 2004","Cuarto","Diciembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Galicia","Lugo","1.0","0.0"
"Año 2004","Cuarto","Diciembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Cuarto","Diciembre","La Rioja","La Rioja","1.0","0.0"
"Año 2005","Primero","Enero","Andalucía","Córdoba","1.0","0.0"
"Año 2005","Primero","Enero","Aragón","Zaragoza","0.0","0.0"
"Año 2005","Primero","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Primero","Enero","Castilla y León","Segovia","1.0","0.0"
"Año 2005","Primero","Enero","Cataluña","Barcelona","2.0","0.0"
"Año 2005","Primero","Enero","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Primero","Enero","Comunitat Valenciana","Valencia/València","2.0","0.0"
"Año 2005","Primero","Enero","Extremadura","Cáceres","1.0","0.0"
"Año 2005","Primero","Enero","Comunidad de Madrid","Madrid","3.0","0.0"
"Año 2005","Primero","Enero","País Vasco","Araba/Álava","1.0","0.0"
"Año 2005","Primero","Febrero","Andalucía","Cádiz","5.0","0.0"
"Año 2005","Primero","Febrero","Andalucía","Granada","1.0","0.0"
"Año 2005","Primero","Febrero","Andalucía","Jaén","1.0","0.0"
"Año 2005","Primero","Febrero","Aragón","Huesca","0.0","0.0"
"Año 2005","Primero","Febrero","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Primero","Febrero","Castilla y León","Burgos","1.0","0.0"
"Año 2005","Primero","Febrero","Castilla y León","León","1.0","0.0"
"Año 2005","Primero","Febrero","Castilla y León","Soria","3.0","0.0"
"Año 2005","Primero","Febrero","Cataluña","Barcelona","2.0","0.0"
"Año 2005","Primero","Febrero","Cataluña","Girona","1.0","0.0"
"Año 2005","Primero","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Primero","Febrero","Comunitat Valenciana","Valencia/València","3.0","0.0"
"Año 2005","Primero","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2005","Primero","Febrero","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2005","Primero","Marzo","Andalucía","Almería","2.0","0.0"
"Año 2005","Primero","Marzo","Andalucía","Cádiz","1.0","0.0"
"Año 2005","Primero","Marzo","Andalucía","Málaga","23.0","0.0"
"Año 2005","Primero","Marzo","Andalucía","Sevilla","4.0","0.0"
"Año 2005","Primero","Marzo","Aragón","Huesca","1.0","0.0"
"Año 2005","Primero","Marzo","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Primero","Marzo","Castilla y León","Salamanca","3.0","0.0"
"Año 2005","Primero","Marzo","Castilla y León","Segovia","1.0","0.0"
"Año 2005","Primero","Marzo","Castilla y León","Valladolid","3.0","0.0"
"Año 2005","Primero","Marzo","Castilla y León","Zamora","3.0","0.0"
"Año 2005","Primero","Marzo","Castilla-La Mancha","Ciudad Real","2.0","0.0"
"Año 2005","Primero","Marzo","Cataluña","Barcelona","1.0","1.0"
"Año 2005","Primero","Marzo","Cataluña","Tarragona","0.0","1.0"
"Año 2005","Primero","Marzo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Primero","Marzo","Comunitat Valenciana","Valencia/València","10.0","0.0"
"Año 2005","Primero","Marzo","Galicia","Lugo","1.0","0.0"
"Año 2005","Primero","Marzo","Comunidad de Madrid","Madrid","3.0","0.0"
"Año 2005","Primero","Marzo","Región de Murcia","Murcia","1.0","0.0"
"Año 2005","Primero","Marzo","País Vasco","Araba/Álava","0.0","0.0"
"Año 2005","Primero","Marzo","País Vasco","Bizkaia","0.0","2.0"
"Año 2005","Primero","Marzo","No consta","No consta","1.0","0.0"
"Año 2005","Segundo","Abril","Andalucía","Cádiz","7.0","0.0"
"Año 2005","Segundo","Abril","Andalucía","Granada","1.0","0.0"
"Año 2005","Segundo","Abril","Andalucía","Sevilla","1.0","1.0"
"Año 2005","Segundo","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Segundo","Abril","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2005","Segundo","Abril","Castilla y León","Palencia","1.0","1.0"
"Año 2005","Segundo","Abril","Castilla y León","Valladolid","1.0","0.0"
"Año 2005","Segundo","Abril","Castilla y León","Zamora","1.0","0.0"
"Año 2005","Segundo","Abril","Cataluña","Barcelona","2.0","0.0"
"Año 2005","Segundo","Abril","Comunitat Valenciana","Valencia/València","6.0","0.0"
"Año 2005","Segundo","Abril","Galicia","Pontevedra","0.0","1.0"
"Año 2005","Segundo","Abril","Región de Murcia","Murcia","2.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Almería","3.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Cádiz","6.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Granada","1.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Jaén","1.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Málaga","2.0","0.0"
"Año 2005","Segundo","Mayo","Andalucía","Sevilla","2.0","0.0"
"Año 2005","Segundo","Mayo","Principado de Asturias","Asturias","0.0","1.0"
"Año 2005","Segundo","Mayo","Illes Balears","Illes Balears","0.0","1.0"
"Año 2005","Segundo","Mayo","Castilla y León","Burgos","1.0","0.0"
"Año 2005","Segundo","Mayo","Castilla y León","León","1.0","0.0"
"Año 2005","Segundo","Mayo","Castilla y León","Palencia","2.0","1.0"
"Año 2005","Segundo","Mayo","Castilla y León","Valladolid","1.0","0.0"
"Año 2005","Segundo","Mayo","Castilla y León","Zamora","7.0","0.0"
"Año 2005","Segundo","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Segundo","Mayo","Cataluña","Girona","2.0","0.0"
"Año 2005","Segundo","Mayo","Comunitat Valenciana","Alicante/Alacant","2.0","0.0"
"Año 2005","Segundo","Mayo","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2005","Segundo","Mayo","Comunitat Valenciana","Valencia/València","4.0","0.0"
"Año 2005","Segundo","Mayo","Extremadura","Badajoz","1.0","0.0"
"Año 2005","Segundo","Mayo","Galicia","A Coruña","0.0","1.0"
"Año 2005","Segundo","Mayo","Comunidad Foral de Navarra","Navarra","0.0","0.0"
"Año 2005","Segundo","Junio","Andalucía","Cádiz","10.0","0.0"
"Año 2005","Segundo","Junio","Andalucía","Córdoba","1.0","0.0"
"Año 2005","Segundo","Junio","Andalucía","Granada","6.0","0.0"
"Año 2005","Segundo","Junio","Andalucía","Málaga","8.0","0.0"
"Año 2005","Segundo","Junio","Andalucía","Sevilla","2.0","0.0"
